time_x,x,y,z,roll,pitch,yaw,xdot,ydot,zdot,p,q,r,Gap,time_u,thrust,roll angle,pitch angle,yaw angle
0,0.018419532,0.018419532,0.018419532,0.018419532,0.018419532,0.018419532,0.018419532,0.018419532,0.018419532,0.018419532,0.018419532,0.018419532,,0,7.003120561,-0.000872478,-0.000856965,-0.000837644
0.1,0.02036642,0.02036642,0.02036642,0.020490228,0.020231365,0.020359988,-0.043548224,0.080521509,2.318178439,-0.028941933,-0.026185244,-0.009532394,,0.1,5.452602785,-0.000126252,-0.000110053,-1.13265E-05
0.2,-0.017217904,0.037564231,1.068933399,-0.010770729,-0.009527033,-0.0018521,-0.054521258,0.057427827,0.813857687,-0.00798688,-0.006702441,-0.000848465,,0.2,6.096570527,0.000100425,6.14349E-05,7.26216E-05
0.3,-0.016816201,0.037666797,0.521332958,0.002371696,0.003114941,0.006813206,-0.017031576,0.034753793,1.58113235,0.005992667,0.004432103,0.005453568,,0.3,5.761981769,-0.000570381,-0.000545648,-0.000289475
0.4,-0.026085689,0.008890793,0.903100063,-0.011564863,-0.01205016,-0.010224451,-0.063704703,0.015802715,1.314788671,-0.039921649,-0.037594233,-0.019368072,,0.4,5.805436782,0.000639517,0.000521151,0.000891825
0.5,0.003557839,0.054841255,0.920891182,0.013054753,0.014285623,0.024044008,0.031729772,0.070665479,1.487081856,0.049325968,0.043222957,0.045264257,,0.5,5.651154509,-0.001943511,-0.001799639,-0.001789022
0.6,0.00387223,0.042802708,1.047949468,0.021109751,0.017610331,0.021582479,-0.044724579,0.04214254,1.380880942,-0.089126124,-0.078151712,-0.040967043,,0.6,5.679658595,0.000627129,0.000471959,0.000977823
0.7,0.010887191,0.073542613,1.121340706,-0.007047741,-0.002176395,0.017527934,-0.010217722,0.120167663,1.514450465,0.044767698,0.038231258,0.046932268,,0.7,5.537455284,-0.001681619,-0.001568691,-0.001770992
0.8,-0.01062483,0.075673946,1.236587045,0.020478956,0.017142099,0.0265133,-0.052321482,0.060838733,1.410901385,-0.079566008,-0.070247322,-0.039015903,,0.8,5.553732984,0.000210975,7.70853E-05,0.000794811
0.9,-0.014844017,0.071924451,1.29127941,-0.022847142,-0.018526271,0.0012653,-0.051824866,0.100761648,1.501593512,0.007219389,0.002889894,0.026375751,,0.9,5.461780468,-0.000731833,-0.00071073,-0.000856163
1,-0.067156725,0.043609681,1.373751899,-0.03173588,-0.032987848,-0.014929714,-0.107887367,0.008360153,1.431394499,-0.069784618,-0.067468144,-0.046871757,,1,5.478529039,0.001133887,0.000862577,0.002239347
1.1,-0.077222268,0.028647272,1.445605698,-0.052189197,-0.05156689,-0.032982634,-0.053241526,-0.000248719,1.519997204,0.020533602,0.009401653,0.034886607,,1.1,5.369159704,-0.000315301,-0.000340666,-0.000378698
1.2,-0.021782858,0.066986052,1.609330598,0.021947195,0.016951527,0.038883343,0.048246133,0.016948817,1.494334455,-0.00741976,-0.008215374,0.009688361,,1.2,5.241924784,-0.001513231,-0.001528964,-0.001395407
1.3,-0.024754111,0.03481089,1.65336242,-0.025598965,-0.026194827,-0.006414781,-0.001486889,-0.050540434,1.358761573,-0.091407403,-0.089981431,-0.04450817,,1.3,5.348027369,0.001282782,0.001058099,0.002020973
1.4,-0.014428208,0.032723199,1.70303571,-0.041327858,-0.041552859,-0.007789167,0.042738713,-0.017025094,1.528451844,0.044735937,0.033814592,0.050997577,,1.4,5.16949039,-0.001253501,-0.001231043,-0.001681753
1.5,-0.01804498,0.024782634,1.845304694,-0.002057451,-0.007673365,0.015800667,0.04121591,-0.073935638,1.365163138,-0.076702422,-0.074312157,-0.045426992,,1.5,5.187515536,0.000358145,0.000165119,0.001268126
1.6,-0.01240598,0.00686634,1.86656772,-0.051016056,-0.051103952,-0.021285388,0.077358172,-0.094329213,1.407124343,-0.007523133,-0.015788127,0.022977937,,1.6,5.144897415,1.1431E-05,-8.30728E-05,-2.76689E-06
1.7,-0.018913561,-0.033873094,1.944125764,-0.04709012,-0.0513152,-0.015591371,0.060488303,-0.149902239,1.378100574,-0.039405118,-0.046081523,-0.022981025,,1.7,5.105009189,0.00062771,0.000418502,0.001688849
1.8,-0.021843308,-0.057383216,2.017806778,-0.060520537,-0.064966524,-0.03390556,0.110248624,-0.195604559,1.355184126,-0.011559614,-0.023242035,0.01749095,,1.8,5.062696709,0.000399673,0.000226065,0.000792454
1.9,0.048806958,-0.037861951,2.132947832,-0.007415812,-0.014249765,0.026184983,0.228384056,-0.171322437,1.366403209,0.017291983,0.005263217,0.035932514,,1.9,4.907272172,-0.001396424,-0.001441045,-0.002251958
2,0.080587272,-0.061214635,2.200693487,-0.014202757,-0.022285146,0.01627325,0.248568809,-0.255654431,1.181980178,-0.077134477,-0.080526017,-0.049321154,,2,4.999132289,0.000736214,0.000553998,0.001645348
2.1,0.092020224,-0.127113097,2.181657589,-0.070629659,-0.07603759,-0.035184968,0.241466211,-0.287432449,1.270475076,-0.001712272,-0.012217659,0.024370176,,2.1,4.940765206,0.000499738,0.000226217,0.000916834
2.2,0.105470379,-0.155378269,2.294137656,-0.040421886,-0.048204606,-0.003647214,0.265061482,-0.301115767,1.227479772,-0.006954307,-0.025004016,0.011538895,,2.2,4.854021825,-6.03057E-05,-0.000147009,0.000100709
2.3,0.158739616,-0.138379292,2.384029551,-0.012067133,-0.023995476,0.022860569,0.379540958,-0.315134763,1.14551753,-0.004090877,-0.014112208,0.020254367,,2.3,4.797137265,-0.00069613,-0.000817071,-0.001424888
2.4,0.205583042,-0.186849479,2.401240694,-0.028531023,-0.037968737,0.010155622,0.397925214,-0.384537515,1.061902742,-0.047031197,-0.057594691,-0.029454206,,2.4,4.826473102,0.000624865,0.000408843,0.001480686
2.5,0.25301351,-0.227436337,2.44113202,-0.037590166,-0.048137241,-0.000765199,0.437867898,-0.376389052,1.089855976,0.017137073,0.000595297,0.043945762,,2.5,4.736645957,-0.000455791,-0.000579718,-0.001229126
2.6,0.290807275,-0.249582114,2.516080602,-0.013241388,-0.026920352,0.029086373,0.465202303,-0.402342332,0.97977845,-0.029485114,-0.041778788,-0.017634456,,2.6,4.717529719,2.39069E-05,-0.000172228,0.000204653
2.7,0.336309084,-0.275517752,2.538080353,-0.02677998,-0.039597368,0.010206956,0.524684645,-0.430717882,0.947831797,-0.004658511,-0.021094404,0.018710216,,2.7,4.685439177,-0.000117614,-0.000270784,-0.000507861
2.8,0.386882804,-0.32523164,2.574428392,-0.024009572,-0.039198629,0.019102597,0.535885466,-0.450197519,0.884998422,-0.016082401,-0.031753843,-0.003010236,,2.8,4.660290117,0.000128892,-7.8881E-05,0.000205583
2.9,0.387231319,-0.395712973,2.569798364,-0.062518892,-0.078516171,-0.022908112,0.519281586,-0.529597045,0.806953478,-0.033519971,-0.052052021,-0.015082984,,2.9,4.700207746,0.001526719,0.001013393,0.00329625
3,0.451738868,-0.421706266,2.619351119,-0.038827747,-0.057321047,0.003772509,0.605075196,-0.492628241,0.851911266,0.056090358,0.021037957,0.084201314,,3,4.554662819,-0.000792671,-0.000810408,-0.002869307
3.1,0.529023916,-0.418114508,2.704641939,0.014754311,-0.012932867,0.063101885,0.693111138,-0.526264716,0.675699595,-0.028778399,-0.039132927,-0.040050091,,3.1,4.552265893,-9.42849E-05,-0.000407103,-0.000379411
3.2,0.599261328,-0.477188072,2.665969102,-0.028405199,-0.046753759,0.003432725,0.74581565,-0.587730285,0.64857286,-0.007460483,-0.032570306,0.005392393,,3.2,4.557408027,0.000512453,0.000284879,0.000775633
3.3,0.61087185,-0.613665597,2.633739856,-0.07970475,-0.104449789,-0.037329003,0.655405119,-0.662029311,0.552164401,-0.029599003,-0.0543277,-0.017720134,,3.3,4.620596329,0.002418009,0.001468649,0.005403751
3.4,0.660223818,-0.628650101,2.668634091,-0.050077224,-0.076981377,-0.007968057,0.760553743,-0.618720007,0.617474264,0.089934879,0.030365754,0.1245638,,3.4,4.463275259,-0.000710291,-0.000489172,-0.003525829
3.5,0.732875906,-0.643850409,2.733780943,0.001684821,-0.042286017,0.055741898,0.84135554,-0.69132447,0.40265775,-0.039362885,-0.045539012,-0.072011834,,3.5,4.504800984,0.000968808,0.000510671,0.002208305
3.6,0.833507716,-0.707150855,2.682421743,-0.039105507,-0.063905565,-0.014757583,0.940270367,-0.728550756,0.426084633,0.041144759,0.003504702,0.063718198,,3.6,4.451498744,0.000389078,6.61906E-05,-0.000323003
3.7,0.9200834,-0.798829382,2.700292706,-0.021512241,-0.058311318,0.027402395,0.947107474,-0.743173684,0.297539683,0.008043623,-0.02702623,-0.003446391,,3.7,4.464848759,0.000820436,0.000623399,0.0011828
3.8,0.99016239,-0.831177867,2.676569161,-0.023907393,-0.063160107,0.010018391,1.021935472,-0.766819759,0.276182819,0.036387231,0.004517488,0.038853065,,3.8,4.419540573,0.00045566,0.000177822,-0.000127114
3.9,1.117666933,-0.8612943,2.714615574,0.01992368,-0.019571622,0.059968723,1.120330513,-0.732967364,0.202424121,0.049086567,0.014070927,0.03637974,,3.9,4.366175557,-0.000616596,-0.000718192,-0.003458467
4,1.207721661,-0.913568532,2.682826545,0.013912673,-0.029781291,0.046847863,1.158128454,-0.781728282,0.113501803,-0.008587998,-0.035150434,-0.053200343,,4,4.380044986,0.000832862,0.000587743,0.001646703
4.1,1.297066149,-1.005948784,2.64332069,-0.020465539,-0.06246625,-0.003307581,1.156857191,-0.780141162,0.05795156,0.043359618,0.007666539,0.048801019,,4.1,4.370539207,0.000671948,0.000322199,0.000194909
4.2,1.345503622,-1.080742918,2.601747077,-0.020817981,-0.06655692,0.017576702,1.145720651,-0.803173995,-0.048825041,0.021992264,-0.020153029,-0.00024365,,4.2,4.389055398,0.001294343,0.000882478,0.002433937
4.3,1.426115214,-1.113873168,2.570895394,-0.011106027,-0.063394665,0.014111387,1.2292539,-0.795739286,-0.072950039,0.065550727,0.018039789,0.065607322,,4.3,4.34552332,0.000313194,0.00026503,-0.000971949
4.4,1.538985361,-1.159941972,2.560774932,0.013947695,-0.042768434,0.048574977,1.293145004,-0.805082773,-0.168180365,0.030899341,-0.00012038,-0.00484842,,4.4,4.338992842,0.000612944,0.00040234,0.000288008
4.5,1.632264236,-1.233985922,2.499233586,-0.010756648,-0.063822809,0.006820564,1.327269505,-0.832875315,-0.224959454,0.034274211,-0.00565148,0.011193857,,4.5,4.326242142,0.00133434,0.000841681,0.002385196
4.6,1.742630731,-1.301601505,2.468206896,-0.003692369,-0.06161852,0.017963663,1.373657359,-0.815991047,-0.313906436,0.072520699,0.018058863,0.063953739,,4.6,4.329134893,0.000507306,0.000502339,-0.000453499
4.7,1.858466353,-1.326617667,2.426105837,0.030159061,-0.037089066,0.057177251,1.453705564,-0.800473183,-0.356388042,0.053165848,0.020202811,0.014990772,,4.7,4.305494631,0.000246571,0.000260904,-0.000980085
4.8,2.006392808,-1.352880004,2.409388524,0.047967557,-0.013764918,0.060418699,1.537184675,-0.758850467,-0.395956671,0.061640923,0.029132227,0.019869684,,4.8,4.271108239,-0.000231481,-0.000141311,-0.002483808
4.9,2.060733022,-1.483428494,2.297346612,-0.021383355,-0.083905068,-0.012710816,1.437912272,-0.84580766,-0.530114526,-0.021293022,-0.050868231,-0.080351628,,4.9,4.295648758,0.003641304,0.001713926,0.010001143
5,2.158153456,-1.545471579,2.239552172,-0.029059281,-0.095038731,-0.032422853,1.514019043,-0.788641304,-0.618005433,0.168703517,0.049003315,0.22539121,,5,4.328554,-0.000148727,0.000501806,-0.002941847
5.1,2.308275917,-1.51082766,2.200334857,0.097045643,-0.010685376,0.145358999,1.661578488,-0.743816724,-0.621728802,0.050782503,0.050784932,-0.018777545,,5.1,4.316083139,-0.000670999,-0.000367725,-0.003485247
5.2,2.454028827,-1.553657137,2.150161378,0.04564185,-0.017484719,0.036832244,1.685074705,-0.719510837,-0.579700801,0.020292371,-0.004583242,-0.046124917,,5.2,4.193536533,0.001214132,0.000986668,0.002328637
5.3,2.585512253,-1.648413326,2.134562102,0.016561969,-0.053295357,0.007208866,1.663310471,-0.696595279,-0.838361474,0.087716998,0.03766815,0.067979674,,5.3,4.296434804,0.000667433,0.000709587,0.000349477
5.4,2.697285928,-1.658838253,1.985646669,0.06109142,-0.021253352,0.069638864,1.722908223,-0.649933861,-0.826856447,0.079237737,0.04317177,0.037784063,,5.4,4.301947483,-0.000193826,0.000336422,-0.002011698
5.5,2.791643563,-1.706961573,1.907923221,0.037139096,-0.043726615,0.033288287,1.705480649,-0.64381241,-0.857391967,0.022264734,0.006902123,-0.038270532,,5.5,4.245862044,0.001774256,0.001285501,0.004222379
5.6,2.909078905,-1.761366311,1.852233453,0.015043256,-0.058233038,0.000150816,1.734676217,-0.61058292,-1.01286973,0.108130701,0.046533574,0.101481371,,5.6,4.300040793,0.000626194,0.000809698,0.00029952
5.7,3.054372385,-1.756213837,1.748555858,0.080000409,-0.01415179,0.087140568,1.827577217,-0.55253007,-1.021621229,0.085012259,0.0569255,0.040497031,,5.7,4.328577235,-0.000498021,0.000298762,-0.002355841
5.8,3.22750991,-1.741368644,1.701569147,0.100503423,0.014921797,0.087947136,1.875823068,-0.441507926,-0.967987279,0.05674121,0.05567774,-0.001559968,,5.8,4.25715948,-0.00048681,3.67512E-05,-0.002166959
5.9,3.367620773,-1.767104054,1.666585028,0.077273065,0.004469501,0.056511696,1.828353307,-0.376921703,-1.082641635,0.0439279,0.03205367,-0.014248732,,5.9,4.253110281,0.000302695,0.000750328,0.000154509
6,3.454625007,-1.80039598,1.540717108,0.050442836,-0.026392361,0.026938485,1.783118544,-0.350279461,-1.200825417,0.057578178,0.042274471,0.01520542,,6,4.283829134,0.000788731,0.001011306,0.001551612
6.1,3.583364562,-1.780380274,1.441662048,0.085587258,0.006559175,0.066061395,1.853505661,-0.267281153,-1.253415941,0.10213464,0.079342598,0.069964294,,6.1,4.344341267,-0.001059516,-8.28057E-05,-0.003446209
6.2,3.697276422,-1.787381096,1.314130279,0.088619731,0.003374903,0.070073304,1.800382363,-0.209633664,-1.224935458,0.004533947,0.02136826,-0.06069799,,6.2,4.281070039,0.000901451,0.001193941,0.00241801
6.3,3.798943935,-1.799333026,1.256217768,0.041522844,-0.026770078,0.005948668,1.777406483,-0.14883347,-1.363847054,0.081227683,0.064410301,0.060623732,,6.3,4.298949233,0.000440163,0.000880126,0.000518827
6.4,3.914342901,-1.783554765,1.124758621,0.080482326,-4.32153E-05,0.06294508,1.822279301,-0.120641949,-1.449270314,0.067927914,0.063027914,0.026062637,,6.4,4.385858422,-0.000226006,0.000640071,-0.000419996
6.5,4.037793038,-1.774585224,0.984285671,0.07753754,-0.000493165,0.047436986,1.801269416,-0.02894592,-1.383944064,0.038076082,0.052851895,0.002723139,,6.5,4.319180051,0.000384543,0.000971861,0.00101192
6.6,4.167195048,-1.745474771,0.949387123,0.075158098,0.006749609,0.046156151,1.811141199,0.046399401,-1.509681633,0.070964325,0.075394622,0.041465869,,6.6,4.368813448,-0.000353082,0.000519711,-0.00078
6.7,4.306356052,-1.700058154,0.822400413,0.107116942,0.034473486,0.078438391,1.822450209,0.139393693,-1.500498807,0.050952347,0.074158957,0.014173254,,6.7,4.388869155,-0.000804317,0.000151001,-0.00116959
6.8,4.398738323,-1.692087744,0.706988406,0.071704571,0.007737234,0.037517831,1.710004269,0.210313641,-1.527101723,0.00474913,0.033946375,-0.022197142,,6.8,4.328329101,0.000903141,0.001468818,0.002289316
6.9,4.510604971,-1.628932132,0.647132944,0.079937815,0.021062308,0.049035123,1.769075736,0.285266698,-1.663659167,0.100088501,0.112354441,0.07801444,,6.9,4.436648513,-0.001364548,-0.00022951,-0.002304094
7,4.657903369,-1.56280186,0.491705952,0.139355325,0.072228932,0.107527691,1.759707298,0.394820909,-1.581308414,0.011924395,0.063445611,-0.011529066,,7,4.438087226,-0.001069786,-0.000141445,-0.000827304
7.1,4.754001384,-1.520465879,0.417494314,0.086630063,0.039170948,0.05275247,1.591790546,0.538624722,-1.590163121,0.007226069,0.046961632,0.002448375,,7.1,4.35073992,-0.000103209,0.000874825,0.000240434
7.2,4.823095331,-1.429414197,0.361735132,0.094439781,0.046251215,0.069368221,1.615959457,0.574734337,-1.775655148,0.054236276,0.098878925,0.03423265,,7.2,4.475674049,-0.001299566,-0.000254701,-0.00116563
7.3,4.916922241,-1.389646002,0.142366576,0.102658977,0.058056109,0.069219011,1.531167089,0.653237405,-1.70527221,-0.012488995,0.04424035,-0.009898967,,7.3,4.450928309,-0.000296894,0.000680953,0.000457526
7.4,5.035026449,-1.276435525,0.112590859,0.114555862,0.078776686,0.090550381,1.525946846,0.810576395,-1.741957387,0.060632548,0.114553163,0.058111539,,7.4,4.484736375,-0.002225574,-0.001145173,-0.001991275
